Region,sentiment_score,tweets_proportion,tweets_proportion_log
Malaysia,0.6733774802703230,0.0005852388169652560,-7.443490559908660
Namibia,0.6794948621286420,0.000976916999423459,-6.9311088640610800
New Caledonia,0.6852511746987950,0.002240581922679720,-6.101019659943380
Niger,0.6720151171617160,0.0010292584082951100,-6.878916728005770
Nigeria,0.7092736989618830,0.003811949474486180,-5.569614547610080
Nicaragua,0.6454775293557600,0.0006375612645483420,-7.357860184296820
Netherlands,0.6635479755440170,0.0017957907975521400,-6.3223097983187300
Norway,0.6719045083979060,0.003413150726982670,-5.680119447424250
Nepal,0.6841010678308820,0.0012527873830676300,-6.682384303765330
New Zealand,0.6840910672199660,0.002125726126133340,-6.15364182855841
Oman,0.6813309639524250,0.0004065996407188720,-7.807681540393460
Pakistan,0.6980324892912920,0.0025641371138936100,-5.966133264795960
Panama,0.6734273845733040,0.0011054780223728900,-6.8074774381241000
Peru,0.6545221183496920,0.0010757769601504500,-6.834712124834810
Philippines,0.6944074660458480,0.0012258169642176200,-6.704147747705400
Papua New Guinea,0.6212849298245610,0.0007777110735141630,-7.159155473565520
Poland,0.6654802917967010,0.0017326143192811900,-6.358123843922050
North Korea,0.6653996981132080,0.0007477532132225340,-7.1984375632751700
Portugal,0.6573691217068250,0.0012356563716785200,-6.6961529750417
Paraguay,0.6346636943467680,0.0005800183294854900,-7.452450852361970
Romania,0.6887608929273510,0.008062495160461500,-4.8205321971132600
Russia,0.6780384904477060,0.001074960755013380,-6.835471125033210
Rwanda,0.6709214580960130,0.0027878673344042300,-5.882478371719540
Sudan,0.6484986817248460,0.00040324821687714200,-7.815958262848110
South Sudan,0.6057142831402830,0.0016902520840656300,-6.382877599001710
Senegal,0.639315978960024,0.0007748007107529980,-7.16290470909448
Saint Helena,0.797051,0.00046189376443418000,-7.68017564043659
Solomon Islands,0.6640149425287360,0.006903118305165440,-4.975782041182910
Sierra Leone,0.6954734583648750,0.002095837585671230,-6.1678020032779500
El Salvador,0.6366840758365380,0.003466293402899900,-5.664669439540410
Somalia,0.6344028982412060,0.0006346926001372910,-7.362369770555030
Suriname,0.7022823144409940,0.002586312408079570,-5.957522198473740
Slovakia,0.6588276914006330,0.0032691779869082500,-5.723216705824640
Slovenia,0.6664770845625490,0.006321448952378510,-5.063806832483630
Sweden,0.7011689538333030,0.0021768758597288500,-6.129864521906920
Swaziland,0.6705089885321100,0.0005300039084763110,-7.542626176961690
Syria,0.7454420553205340,0.0028539681008544300,-5.859044936985600
Chad,0.6498890646900270,0.0004967252188194770,-7.607473564400830
Togo,0.6941196896551730,0.003686171292386060,-5.603166949738270
Thailand,0.682524191230907,0.0013922659832952500,-6.576822655369870
Tajikistan,0.6126197284768210,0.002640691126578290,-5.936714605714470
Tunisia,0.6385988175040520,0.0017738100213968000,-6.334625491361030
Turkey,0.6166514945581120,0.0019846093802891500,-6.2223331699563800
Taiwan,0.6883009477660030,0.0027284394268025700,-5.904025471766730
Uganda,0.6539304826787460,0.0013587421371352000,-6.601195906382620
Ukraine,0.7069981687387580,0.004057406923548530,-5.5072111981982100
Uruguay,0.6653331596904680,0.0005142020387011810,-7.57289429833836
United States of America,0.659028937084722,0.0016186093110565900,-6.426187948382100
Uzbekistan,0.6980838323170730,0.005649048722865880,-5.176268115633570
Venezuela,0.6920224193921590,0.0019063619635539200,-6.262558584354280
Vietnam,0.7218348879345430,0.010554586611460500,-4.551194763634950
Vanuatu,0.6068143333333330,0.001954744698495440,-6.237495683077190
Wallis and Futuna,0.806651,0.002288329519450800,-6.07993319509559
Samoa,0.7074142173913040,0.0012127603480094900,-6.71485623819385
Yemen,0.6623629815436240,0.00033897323713538900,-7.989589400203540
South Africa,0.6677051701601890,0.0008792274908831740,-7.0364668872982100
Zambia,0.6394380151301900,0.0005725926754830510,-7.465335957063790
Zimbabwe,0.6745197706708270,0.0007711565090104440,-7.167619210176130
